Concurso de Estímulo ao Emprego Científico na Modalidade de Apoio Individual - 2018 /Stimulus of Scientific Employment, Individual Support 2018 Call;;;;;;;;;;;;;;
Resultados Após Avaliação /Results After Evaluation ;;;;;;;;;;;;;;
Lista ordenada da categoria de Investigador Principal / Ranked list of Principal Researchers;;;;;;;;;;;;;;
Reference/Referência;Nome Candidato/Applicant;Categoria/Contract Level;Painel de Avaliação/Evaluation Panel;Instituição Acolhimento/Host Institution;Classificação Final/Final Score;Classificação Final Consolidada/Consolidated Final Score;Recomendação para financiamento/Recommended for funding?;;;;;;;
CEECIND/03266/2018;E. Glenn Schellenberg;Principal researcher;Psychology and Cognitive Sciences;Centro de Investigação e Intervenção Social (CIS-IUL/ISCTE-IUL);10;10;Yes;;;;;;;
CEECIND/02275/2018;Antonio Vassallo;Principal researcher;Philosophy, Ethics and Religion;Centro de Filosofia (CF/ULisboa);9,7;9,4;Yes;;;;;;;
CEECIND/03345/2018;Jörg Dieter Becker;Principal researcher;Agricultural and Veterinary Sciences;Biorecursos para a Sustentabilidade (GREEN-IT/ITQB NOVA/UNL);9,7;9,4;Yes;;;;;;;
CEECIND/01334/2018;Nuno Teotonio Viegas Guerreiro Leonardo;Principal researcher;Physical Sciences;Laboratório de Instrumentação e Física Experimental de Partículas (LIP);9,7;9,4;Yes;;;;;;;
CEECIND/03268/2018;Caren Norden;Principal researcher;Biological Sciences AR, PR and CR;Instituto Gulbenkian de Ciência (IGC/FCG);9,7;9,4;Yes;;;;;;;
CEECIND/02589/2018;Claudio Areias Franco;Principal researcher;Basic and Clinical Medicine;Instituto de Medicina Molecular João lobo Antunes (IMM/FM/ULisboa);9,6;9,4;Yes;;;;;;;
CEECIND/02234/2018;Claudia Bank;Principal researcher;Biological Sciences AR, PR and CR;Instituto Gulbenkian de Ciência (IGC/FCG);9,6;9,2;Yes;;;;;;;
CEECIND/00826/2018;Sergio Antonio Goncalves de Sousa;Principal researcher;Physical Sciences;Instituto de Astrofísica e Ciências do Espaço (IA);9,6;9,2;Yes;;;;;;;
CEECIND/03592/2018;Maria Elsa Marques Peralta da Silva;Principal researcher;Arts and Other Humanities;Centro de Estudos Comparatistas (CEC/FL/ULisboa);9,6;9,2;Yes;;;;;;;
CEECIND/00698/2018;Andrea Daher;Principal researcher;Sociology and Other Social Sciences;Centro de Humanidades (CHAM/FCSH/UNL);9,5;9,1;Yes;;;;;;;
CEECIND/01883/2018;Ana Sofia Pereira Serrenho Reboleira;Principal researcher;Earth and Related Environmental Sciences and Other Natural Sciences;Centro de Estudos do Ambiente e do Mar (CESAM/UA);9,6;9,0;Yes;;;;;;;
CEECIND/01827/2018;Daniele Molinini;Principal researcher;Philosophy, Ethics and Religion;Centro de Filosofia da Ciência (FC/ULisboa);9,5;9,0;Yes;;;;;;;
CEECIND/03322/2018;Luisa Miranda Figueiredo;Principal researcher;Biological Sciences AR, PR and CR;Instituto de Medicina Molecular João lobo Antunes (IMM/FM/ULisboa);9,5;9,0;Yes;;;;;;;
CEECIND/00541/2018;Aleksey Yaremchenko;Principal researcher;Materials Engineering and Nano-technology;CICECO- Instituto de Materiais de Aveiro (CICECO/UA);9,3;9,0;Yes;;;;;;;
CEECIND/03230/2018;Sebastiana Fadda;Principal researcher;Arts and Other Humanities;Centro de Estudos de Teatro (CET/FL/ULisboa);9,5;9,0;Yes;;;;;;;
CEECIND/00556/2018;RUTH M. PLIEGO VAZQUEZ;Principal researcher;History and Archaeology;Centro de Arqueologia (UNIARQ/FL/ULisboa);9,2;8,9;Yes;;;;;;;
CEECIND/00609/2018;Fernando Manuel Alves Silva Pacheco Torgal;Principal researcher;Civil and Mechanical Engineering and Engineering Systems;Centro de Território, Ambiente e Construção (C-TAC/UM);9,9;8,8;Yes;;;;;;;
CEECIND/03453/2018;Paula Sofia Ramos de Sousa Sampaio;Principal researcher;Media and Communications, Law and Political Science;Instituto de Ciências Sociais da Universidade de Lisboa (ICS/ULisboa);9,5;8,8;Yes;;;;;;;
CEECIND/00706/2018;Vittorio Zanon;Principal researcher;Earth and Related Environmental Sciences and Other Natural Sciences;Instituto de Investigação em Vulcanologia e Avaliação de Riscos (IVAR/Uaçores/UAçores);9,5;8,8;Yes;;;;;;;
CEECIND/02290/2018;Maurizio Esposito;Principal researcher;Philosophy, Ethics and Religion;Centro Interuniversitário de História das Ciências e daTecnologia (CIUHCT);9,4;8,8;Yes;;;;;;;
CEECIND/00453/2018;Gonçalo José Lopes Bernardes;Principal researcher;Chemical Sciences;Instituto de Medicina Molecular João lobo Antunes (IMM/FM/ULisboa);9,7;8,8;Yes;;;;;;;
CEECIND/03780/2018;Everton Vasconcelos Machado;Principal researcher;Languages and Literature;Centro de Estudos Comparatistas (CEC/FL/ULisboa);9,7;8,8;Yes;;;;;;;
CEECIND/03414/2018;Rodrigo Freire Martins de Almeida;Principal researcher;Chemical Sciences;Centro de Química Estrutural (CQE/IST/ULisboa);9,7;8,8;Yes;;;;;;;
CEECIND/02086/2018;Pedro Miguel Teixeira Brites;Principal researcher;Health Sciences and Other Medical Sciences;Instituto de Investigação e Inovação em Saúde (i3S/UP);9,2;8,8;Yes;;;;;;;
CEECIND/00768/2018;Joao Carlos de Oliveira Mascarenhas Mateus;Principal researcher;Arts and Other Humanities;Centro de Investigação em Arquitectura, Urbanismo e Design (CIAUD);9,4;8,8;Yes;;;;;;;
CEECIND/03264/2018;Paula Alexandra Fernandes Borges dos Santos;Principal researcher;History and Archaeology;Instituto de História Contemporânea (IHC/FCSH/UNL);9,1;8,8;Yes;;;;;;;
CEECIND/01127/2018;Nicolas Francesco Van Goethem;Principal researcher;Mathematics and Computer and Information Sciences;Centro de Matemática, Aplicações Fundamentais e Investigação Operacional (ULisboa);9,2;8,8;Yes;;;;;;;
CEECIND/01864/2018;José Pedro de Abreu Coutinho;Principal researcher;Physical Sciences;Instituto de Nanoestruturas, Nanomodelação e Nanofabricação (I3N);9,4;8,8;Yes;;;;;;;
CEECIND/00096/2018;Iva Hristova Pashkuleva;Principal researcher;Materials Engineering and Nano-technology;ICVS/3B`s - Laboratório Associado (ICVS/3B`s);9,2;8,8;Yes;;;;;;;
CEECIND/01014/2018;Bruno Filipe Figueiras Medronho;Principal researcher;Agricultural and Veterinary Sciences;Centro para os Recursos Biológicos e Alimentação Mediterrânicos (MeditBio);9,4;8,8;Yes;;;;;;;
CEECIND/02387/2018;Iola Melissa Fernandes Duarte;Principal researcher;Medical Biotechnology;CICECO- Instituto de Materiais de Aveiro (CICECO/UA);9,5;8,8;Yes;;;;;;;
CEECIND/03877/2018;Maria de La Salete da Silva Balula;Principal researcher;Chemical Engineering;Laboratório Associado para a Química Verde - Tecnologias e Processos Limpos (REQUIMTE);9,0;8,8;Yes;;;;;;;
CEECIND/02220/2018;Ricardo Marnoto de Oliveira Campos;Principal researcher;Sociology and Other Social Sciences;Centro Interdisciplinar de Ciências Sociais (CICS.Nova/FCSH/UNL);9,3;8,8;Yes;;;;;;;
CEECIND/02170/2018;Susana Santos Lopes;Principal researcher;Basic and Clinical Medicine;iNOVA4Health - Programme in Translational Medicine (iNOVA4Health);9,2;8,8;Yes;;;;;;;
CEECIND/03482/2018;José Carlos Ribeiro Bessa;Principal researcher;Health Sciences and Other Medical Sciences;Instituto de Investigação e Inovação em Saúde (i3S/UP);9,2;8,8;Yes;;;;;;;
CEECIND/01574/2018;Li-Wei Chao;Principal researcher;Economics and Business, Social and Economic Geography;Centro de Economia e Finanças da Universidade do Porto (CEF.UP);8,8;8,8;Yes;;;;;;;
CEECIND/03451/2018;Rita Covas Monteiro;Principal researcher;Biological Sciences AR, PR and CR;Rede de Investigação em Biodiversidade e Biologia Evolutiva (InBIO/ICETA-Porto/ICETA);9,0;8,4;Yes*;;;;;;;
CEECIND/02929/2018;Telmo Alexandre Fernandes Morato Gomes;Principal researcher;Biological Sciences AR, PR and CR;MARE - Centro de Ciências do Mar e do Ambiente (MARE/FC/ULisboa);9,4;8,8;No;;;;;;;
CEECIND/03274/2018;José Carlos Alcobia Rogado de Brito;Principal researcher;Biological Sciences AR, PR and CR;Rede de Investigação em Biodiversidade e Biologia Evolutiva (InBIO/ICETA-Porto/ICETA);9,4;8,8;No;;;;;;;
CEECIND/01039/2018;Benjamín Costas Refojos;Principal researcher;Agricultural and Veterinary Sciences;Centro Interdisciplinar de Investigação Marinha e Ambiental (CIIMAR/CIMAR);9,4;8,8;No;;;;;;;
CEECIND/01376/2018;Diogo Pinto da Cruz Sampaio e Castro;Principal researcher;Biological Sciences AR, PR and CR;Instituto de Investigação e Inovação em Saúde (i3S/UP);9,4;8,8;No;;;;;;;
CEECIND/02159/2018;Gladys Elena Serrano Jerez;Principal researcher;Arts and Other Humanities;Centro Interuniversitário de História das Ciências e daTecnologia (CIUHCT);9,4;8,8;No;;;;;;;
CEECIND/03889/2018;Aristides Miguel da Costa Machado Rodrigues;Principal researcher;Sociology and Other Social Sciences;Centro de Investigação em Antropologia e Saúde (CIAS/FCT/UC);9,3;8,8;No;;;;;;;
CEECIND/02156/2018;Laurent Georges Denis Drouet;Principal researcher;Environmental Biotechnology and Engineering, Industrial Biotechnology and Other Engineering and Technologies;Centro de Investigação em Ambiente e Sustentabilidade (CENSE/FCTUNL/UNL);9,3;8,8;No;;;;;;;
CEECIND/03871/2018;Miguel Tierz Parra;Principal researcher;Mathematics and Computer and Information Sciences;Grupo de Física Matemática (GFM/ULisboa);9,2;8,8;No;;;;;;;
CEECIND/02432/2018;Ayman Radwan;Principal researcher;Electrical, Electronic and Information Engineering;Instituto de Telecomunicações (IT);8,9;8,8;No;;;;;;;
CEECIND/00006/2018;Joana Catarina da Silva Correia;Principal researcher;Medical Engineering;ICVS/3B`s - Laboratório Associado (ICVS/3B`s);8,6;8,8;No;;;;;;;
CEECIND/00112/2018;Lúcia Maria Teixeira Pombo;Principal researcher;Education;Centro de Investigação em Didáctica e Tecnologia na Formação de Formadores (CIDTFF/UA);8,1;8,8;No;;;;;;;
CEECIND/02174/2018;Christin-Melanie Vauclair;Principal researcher;Psychology and Cognitive Sciences;Centro de Investigação e Intervenção Social (CIS-IUL/ISCTE-IUL);9,9;8,7;No;;;;;;;
CEECIND/00892/2018;Elsa Clara Carvalho Logarinho Santos;Principal researcher;Biological Sciences AR, PR and CR;Instituto de Investigação e Inovação em Saúde (i3S/UP);9,3;8,7;No;;;;;;;
CEECIND/03373/2018;Isabel Alexandra Aguiar de Abreu;Principal researcher;Agricultural and Veterinary Sciences;Biorecursos para a Sustentabilidade (GREEN-IT/ITQB NOVA/UNL);9,3;8,7;No;;;;;;;
CEECIND/02510/2018;David James Alexander Edward Harris;Principal researcher;Biological Sciences AR, PR and CR;Rede de Investigação em Biodiversidade e Biologia Evolutiva (InBIO/ICETA-Porto/ICETA);9,3;8,7;No;;;;;;;
CEECIND/01967/2018;Angelo Cattaneo;Principal researcher;History and Archaeology;Centro de Humanidades (CHAM/FCSH/UNL);9,0;8,7;No;;;;;;;
CEECIND/00639/2018;Catia Cristina Capelo Ornelas Megiatto;Principal researcher;Chemical Sciences;Centro de Química da Madeira (CQM/UMA);9,6;8,7;No;;;;;;;
CEECIND/02305/2018;Tiago José Quinteiros Lopes Henriques da Silva;Principal researcher;Environmental Biotechnology and Engineering, Industrial Biotechnology and Other Engineering and Technologies;ICVS/3B`s - Laboratório Associado (ICVS/3B`s);9,2;8,7;No;;;;;;;
CEECIND/00361/2018;José António Oliveira Martins;Principal researcher;Arts and Other Humanities;Centro de Investigação em Ciências e Tecnologias das Artes (CITAR/CRP/UCP);9,3;8,7;No;;;;;;;
CEECIND/00385/2018;Juan Cristobal Cobo Romani;Principal researcher;Media and Communications, Law and Political Science;Instituto de Ciências Sociais da Universidade de Lisboa (ICS/ULisboa);9,4;8,7;No;;;;;;;
CEECIND/03243/2018;Cláudia Barreiros Macedo de Faria;Principal researcher;Education;Instituto de Ciências Sociais da Universidade de Lisboa (ICS/ULisboa);8,0;8,7;No;;;;;;;
CEECIND/03499/2018;Vasco Daniel Bigas Bonifácio;Principal researcher;Chemical Sciences;Instituto de Bioengenharia e Biociências (iBB/IST/ULisboa);9,5;8,6;No;;;;;;;
CEECIND/00516/2018;Jarle Brinchmann;Principal researcher;Physical Sciences;Instituto de Astrofísica e Ciências do Espaço (IA);9,2;8,6;No;;;;;;;
CEECIND/01591/2018;Joao Oliveira Ventura;Principal researcher;Materials Engineering and Nano-technology;Instituto de Nanociência e Nanotecnologia;9,0;8,6;No;;;;;;;
CEECIND/02225/2018;Lorenzo Cazon Boado;Principal researcher;Physical Sciences;Laboratório de Instrumentação e Física Experimental de Partículas (LIP);9,2;8,6;No;;;;;;;
CEECIND/03613/2018;António Manuel Missionário Roldão;Principal researcher;Environmental Biotechnology and Engineering, Industrial Biotechnology and Other Engineering and Technologies;iNOVA4Health - Programme in Translational Medicine (iNOVA4Health);9,1;8,6;No;;;;;;;
CEECIND/01493/2018;Ricardo Jorge Leal Silvestre;Principal researcher;Health Sciences and Other Medical Sciences;ICVS/3B`s - Laboratório Associado (ICVS/3B`s);9,0;8,6;No;;;;;;;
CEECIND/02610/2018;Susana Paula Florindo Salgado;Principal researcher;Media and Communications, Law and Political Science;Instituto de Ciências Sociais da Universidade de Lisboa (ICS/ULisboa);9,3;8,6;No;;;;;;;
CEECIND/01775/2018;Ana Belén Pereiro Estévez;Principal researcher;Chemical Engineering;Laboratório Associado para a Química Verde - Tecnologias e Processos Limpos (REQUIMTE);8,8;8,6;No;;;;;;;
CEECIND/02594/2018;Andrew Renton Mein;Principal researcher;History and Archaeology;Centro de História (CH/FL/ULisboa);8,9;8,6;No;;;;;;;
CEECIND/01973/2018;Julio Gonçalves Pedrosa dos Santos;Principal researcher;Education;Centro de Investigação e Intervenção Educativas (CIIE/FPCE/UP);7,9;8,6;No;;;;;;;
CEECIND/00102/2018;Maria Ana Almeida Colaço;Principal researcher;Earth and Related Environmental Sciences and Other Natural Sciences;MARE - Centro de Ciências do Mar e do Ambiente (MARE/FC/ULisboa);9,2;8,5;No;;;;;;;
CEECIND/03037/2018;Vitor Emanuel Marta da Silva;Principal researcher;Civil and Mechanical Engineering and Engineering Systems;Riscos e Sustentabilidade na Construção (RISCO);9,6;8,5;No;;;;;;;
CEECIND/00460/2018;Daniel Kostic;Principal researcher;Philosophy, Ethics and Religion;Centro de Filosofia da Ciência (FC/ULisboa);9,1;8,5;No;;;;;;;
CEECIND/00150/2018;Julian Richmond Hanna;Principal researcher;Languages and Literature;Laboratório de Robótica e Sistemas de Engenharia (Larsys);9,4;8,5;No;;;;;;;
CEECIND/02355/2018;Ana Pimenta da Gama da Silveira Viana Semedo;Principal researcher;Chemical Sciences;Centro de Química Estrutural (CQE/IST/ULisboa);9,4;8,5;No;;;;;;;
CEECIND/00288/2018;Simone Tulumello;Principal researcher;Economics and Business, Social and Economic Geography;Instituto de Ciências Sociais da Universidade de Lisboa (ICS/ULisboa);8,5;8,5;No;;;;;;;
CEECIND/03577/2018;Eugen Radu;Principal researcher;Physical Sciences;Centro de Investigação e Desenvolvimento em Matemática e Aplicações (CIDMA/DM/UA);9,1;8,5;No;;;;;;;
CEECIND/02215/2018;Isabel Maria Sousa Gomes Mafra;Principal researcher;Agricultural and Veterinary Sciences;Laboratório Associado para a Química Verde - Tecnologias e Processos Limpos (REQUIMTE);9,1;8,5;No;;;;;;;
CEECIND/03394/2018;João Filipe Pedreira de Oliveira;Principal researcher;Health Sciences and Other Medical Sciences;ICVS/3B`s - Laboratório Associado (ICVS/3B`s);8,9;8,5;No;;;;;;;
CEECIND/02885/2018;Federico Herrera;Principal researcher;Health Sciences and Other Medical Sciences;Microbiologia Molecular, Estrutural e Celular (MOSTMICRO/ITQB NOVA/UNL);8,9;8,5;No;;;;;;;
CEECIND/00738/2018;Sérgio Manuel De Sousa Pereira;Principal researcher;Materials Engineering and Nano-technology;CICECO- Instituto de Materiais de Aveiro (CICECO/UA);8,9;8,5;No;;;;;;;
CEECIND/02870/2018;Susana Rodriguez Echeverria;Principal researcher;Biological Sciences AR, PR and CR;Centro de Ecologia Funcional (CFE/FCT/UC);9,1;8,5;No;;;;;;;
CEECIND/02733/2018;Ana Sofia Oliveira Henriques Moita;Principal researcher;Civil and Mechanical Engineering and Engineering Systems;Laboratório de Robótica e Sistemas de Engenharia (Larsys);9,5;8,4;No;;;;;;;
CEECIND/02696/2018;Sónia Amélia Cabral Matos;Principal researcher;Arts and Other Humanities;Laboratório de Robótica e Sistemas de Engenharia (Larsys);9,0;8,4;No;;;;;;;
CEECIND/00257/2018;Pedro Nuno da Costa Leão;Principal researcher;Chemical Sciences;Centro Interdisciplinar de Investigação Marinha e Ambiental (CIIMAR/CIMAR);9,3;8,4;No;;;;;;;
CEECIND/03140/2018;Manuel Pinto Deniz Silva;Principal researcher;Arts and Other Humanities;Instituto de Etnomusicologia - Centro de Estudos em Música e Dança (INET- md);9,0;8,4;No;;;;;;;
CEECIND/02344/2018;Sofia Andringa Dias;Principal researcher;Physical Sciences;Laboratório de Instrumentação e Física Experimental de Partículas (LIP);9,0;8,4;No;;;;;;;
CEECIND/01750/2018;Catarina Jorge Ginja;Principal researcher;Agricultural and Veterinary Sciences;Rede de Investigação em Biodiversidade e Biologia Evolutiva (InBIO/ICETA-Porto/ICETA);9,0;8,4;No;;;;;;;
CEECIND/03280/2018;Pedro Soares;Principal researcher;Earth and Related Environmental Sciences and Other Natural Sciences;Instituto Dom Luíz (IDL/FC/ULisboa);9,1;8,4;No;;;;;;;
CEECIND/01226/2018;João Manuel de Brito Carreiras;Principal researcher;Agricultural and Veterinary Sciences;Centro de Estudos Florestais (CEF/ISA/ULisboa);9,0;8,4;No;;;;;;;
CEECIND/03253/2018;Ana Cristina Delaunay Caperta;Principal researcher;Agricultural and Veterinary Sciences;Centro de Investigação em Agronomia, Alimentos, Ambiente e Paisagem (LEAF/ISA/ULisboa);9,0;8,4;No;;;;;;;
CEECIND/03332/2018;Paulo Jorge Sousa Nunes Pereira;Principal researcher;Health Sciences and Other Medical Sciences;Instituto de Investigação e Inovação em Saúde (i3S/UP);8,8;8,4;No;;;;;;;
CEECIND/02279/2018;Mustafah Dhada;Principal researcher;History and Archaeology;Centro de Estudos Sociais (CES);8,7;8,4;No;;;;;;;
CEECIND/01946/2018;Mara Elga Medeiros Braga;Principal researcher;Chemical Engineering;Centro de Investigação em Engenharia dos Processos Químicos e dos Produtos da Floresta (CIEPQPF/FCT/UC);8,6;8,4;No;;;;;;;
CEECIND/03171/2018;Ana Isabel Dias Daniel;Principal researcher;Economics and Business, Social and Economic Geography;Unidade de Investigação em Governança, Competitividade e Políticas Públicas (GOVCOPP);8,4;8,4;No;;;;;;;
CEECIND/00121/2018;Leonardo Avritzer;Principal researcher;Media and Communications, Law and Political Science;Centro de Estudos Sociais (CES);9,1;8,4;No;;;;;;;
CEECIND/00211/2018;Cláudia Sofia Castro Gomes da Silva;Principal researcher;Chemical Engineering;Laboratório de Processos de Separação e Reacção - Laboratório de Catálise e Materiais (LSRE-LCM/FE/UP);8,6;8,4;No;;;;;;;
CEECIND/00714/2018;Alessandra da Silva Souza de Carvalho;Principal researcher;Psychology and Cognitive Sciences;Centro de Investigação em Psicologia (CIPsi/UM);9,4;8,3;No;;;;;;;
CEECIND/03484/2018;Maria da Graça Luderitz Hoefel;Principal researcher;Sociology and Other Social Sciences;Instituto de Sociologia (IS/FL/UP);8,8;8,3;No;;;;;;;
CEECIND/00906/2018;Jerome Francois Alain Jean Rousseau;Principal researcher;Mathematics and Computer and Information Sciences;Centro de Matemática (CM);8,7;8,3;No;;;;;;;
CEECIND/03240/2018;Vitor Manuel Pereira;Principal researcher;Physical Sciences;Centro de Física (CF/UM);8,9;8,3;No;;;;;;;
CEECIND/03229/2018;Joao Cunha de Sequeira Amaral;Principal researcher;Physical Sciences;CICECO- Instituto de Materiais de Aveiro (CICECO/UA);8,9;8,3;No;;;;;;;
CEECIND/02827/2018;Sónia Alexandra Correia Carabineiro;Principal researcher;Chemical Sciences;Centro de Química Estrutural (CQE/IST/ULisboa);9,1;8,3;No;;;;;;;
CEECIND/01960/2018;Matthias Erwin Futschik;Principal researcher;Biological Sciences AR, PR and CR;Centro de Ciências do Mar (CCMar/CIMAR);8,9;8,3;No;;;;;;;
CEECIND/01338/2018;Newton Carlos Marcial Gomes;Principal researcher;Biological Sciences AR, PR and CR;Centro de Estudos do Ambiente e do Mar (CESAM/UA);8,9;8,3;No;;;;;;;
CEECIND/02678/2018;Andreas Broeckmann;Principal researcher;Arts and Other Humanities;I2ADS - Instituto de Investigação em Arte, Design e Sociedade (I2ADS);8,9;8,3;No;;;;;;;
CEECIND/02583/2018;Victor César Pereira da Silva;Principal researcher;History and Archaeology;Instituto de História Contemporânea (IHC/FCSH/UNL);8,6;8,3;No;;;;;;;
CEECIND/02322/2018;José Richard Baptista Gomes;Principal researcher;Chemical Sciences;CICECO- Instituto de Materiais de Aveiro (CICECO/UA);9,1;8,3;No;;;;;;;
CEECIND/02477/2018;Maria De Jesus Quintas Reis Cabral;Principal researcher;Languages and Literature;Centro de Estudos Anglísticos da Universidade de Lisboa (CEAUL/FL/ULisboa);9,2;8,3;No;;;;;;;
CEECIND/01580/2018;Pedro Manuel Broa Costa;Principal researcher;Biological Sciences AR, PR and CR;Unidade de Ciências Biomoleculares Aplicadas (UCIBIO);8,9;8,3;No;;;;;;;
CEECIND/01355/2018;Glória Catarina Pinto;Principal researcher;Agricultural and Veterinary Sciences;Centro de Estudos do Ambiente e do Mar (CESAM/UA);8,9;8,3;No;;;;;;;
CEECIND/02059/2018;Shahid Mumtaz;Principal researcher;Electrical, Electronic and Information Engineering;Instituto de Telecomunicações (IT);8,4;8,3;No;;;;;;;
CEECIND/00192/2018;Mauricio Breternitz Jr;Principal researcher;Electrical, Electronic and Information Engineering;Instituto de Engenharia de Sistemas e Computadores, Investigação e Desenvolvimento em Lisboa (INESC ID/INESC/IST/ULisboa);8,4;8,3;No;;;;;;;
CEECIND/02302/2018;Marco MARTINS AFONSO;Principal researcher;Physical Sciences;Centro de Matemática (CM);8,8;8,2;No;;;;;;;
CEECIND/02195/2018;Irina Gorodetskaya;Principal researcher;Earth and Related Environmental Sciences and Other Natural Sciences;Centro de Estudos do Ambiente e do Mar (CESAM/UA);8,9;8,2;No;;;;;;;
CEECIND/00797/2018;Luis Guilherme dos Santos Marques Pedro;Principal researcher;Media and Communications, Law and Political Science;Teoria e História do Direito - Centro de Investigação da Ulisboa (THD-Ulisboa);8,9;8,2;No;;;;;;;
