Concurso de Estímulo ao Emprego Científico na Modalidade de Apoio Individual - 2018 /Stimulus of Scientific Employment, Individual Support 2018 Call;;;;;;;;;;;;;;
CEECIND/01995/2018;Maria Leonor Tavares Saúde;Principal researcher;Basic and Clinical Medicine;Instituto de Medicina Molecular João lobo Antunes (IMM/FM/ULisboa);7,7;7,4;No;;;;;;;
CEECIND/02937/2018;Toacy Cavalcante de Oliveira;Principal researcher;Mathematics and Computer and Information Sciences;Centro de Investigação em Ciências da Informação,Tecnologias e Arquitetura (ISTAR-IUL);7,7;7,4;No;;;;;;;
CEECIND/01596/2018;Paula Cristina Nunes Ferreira Calvinho;Principal researcher;Chemical Engineering;Centro de Investigação em Engenharia dos Processos Químicos e dos Produtos da Floresta (CIEPQPF/FCT/UC);7,6;7,4;No;;;;;;;
CEECIND/03629/2018;Sergio Fernando Dias Rosendo;Principal researcher;Earth and Related Environmental Sciences and Other Natural Sciences;Centro Interdisciplinar de Ciências Sociais (CICS.Nova/FCSH/UNL);7,9;7,3;No;;;;;;;
CEECIND/01142/2018;Sheila Pereira Khan;Principal researcher;Sociology and Other Social Sciences;Centro de Estudos de Comunicação e Sociedade (CECS/UM);7,7;7,3;No;;;;;;;
CEECIND/02465/2018;Daniela Maria Oliveira Gandra Ribeiro;Principal researcher;Biological Sciences AR, PR and CR;Instituto de Biomedicina - Aveiro (iBiMED/UA);7,8;7,3;No;;;;;;;
CEECIND/00359/2018;Ana Margarida Medrôa de Matos Hilário;Principal researcher;Biological Sciences AR, PR and CR;Centro de Estudos do Ambiente e do Mar (CESAM/UA);7,8;7,3;No;;;;;;;
CEECIND/00411/2018;Célia Maria Valente Romão;Principal researcher;Biological Sciences AR, PR and CR;Microbiologia Molecular, Estrutural e Celular (MOSTMICRO/ITQB NOVA/UNL);7,8;7,3;No;;;;;;;
CEECIND/02365/2018;Pablo Hernandez-Marrero;Principal researcher;Health Sciences and Other Medical Sciences;Centro de Estudos de Gestão e Economia (CEGE/CRP/UCP);7,6;7,3;No;;;;;;;
CEECIND/02815/2018;Alex Ferreira Magalhães;Principal researcher;Sociology and Other Social Sciences;Centro de Estudos Sociais (CES);7,7;7,3;No;;;;;;;
CEECIND/00437/2018;Maria Salomé Fernandes Martins Marivoet;Principal researcher;Sociology and Other Social Sciences;Centro de Investigação e Estudos de Sociologia (CIES-IUL/ISCTE-IUL);7,7;7,3;No;;;;;;;
CEECIND/00125/2018;Pedro Manuel Dias Neto Domingos;Principal researcher;Basic and Clinical Medicine;Microbiologia Molecular, Estrutural e Celular (MOSTMICRO/ITQB NOVA/UNL);7,6;7,3;No;;;;;;;
CEECIND/01932/2018;Raquel Alexandra Goncalves Costa;Principal researcher;Psychology and Cognitive Sciences;Unidade de Investigação em Epidemiologia - Instituto de Saúde Pública da Universidade do Porto (ISPUP - EPIUnit/ISPUP/UP);8,2;7,2;No;;;;;;;
CEECIND/00352/2018;Phan Thanh An;Principal researcher;Mathematics and Computer and Information Sciences;Centro de Matemática Computacional e Estocástica (CEMAT/IST/ULisboa);7,5;7,2;No;;;;;;;
CEECIND/03073/2018;Ugo Zilioli;Principal researcher;Philosophy, Ethics and Religion;Centro de Filosofia (CF/ULisboa);7,7;7,2;No;;;;;;;
CEECIND/02646/2018;Lydia Campbell;Principal researcher;Biological Sciences AR, PR and CR;Centro de Estudos de Recursos Naturais, Ambiente e Sociedade (CERNAS/ESAC/IPC);7,7;7,2;No;;;;;;;
CEECIND/01970/2018;Heikki Orelma;Principal researcher;Mathematics and Computer and Information Sciences;Centro de Investigação e Desenvolvimento em Matemática e Aplicações (CIDMA/DM/UA);7,5;7,2;No;;;;;;;
CEECIND/02702/2018;Oleksandr Tkach;Principal researcher;Materials Engineering and Nano-technology;CICECO- Instituto de Materiais de Aveiro (CICECO/UA);7,5;7,2;No;;;;;;;
CEECIND/00265/2018;Maximilian Kopylovich;Principal researcher;Chemical Sciences;Centro de Química Estrutural (CQE/IST/ULisboa);7,9;7,2;No;;;;;;;
CEECIND/03610/2018;Francisco José Galindo Rosales;Principal researcher;Civil and Mechanical Engineering and Engineering Systems;Centro de Estudos de Fenómenos de Transporte (FE/UP);8,1;7,2;No;;;;;;;
CEECIND/01436/2018;CAMILO AYRA PARDO;Principal researcher;Biological Sciences AR, PR and CR;Centro Interdisciplinar de Investigação Marinha e Ambiental (CIIMAR/CIMAR);7,7;7,2;No;;;;;;;
CEECIND/03027/2018;Carlos Alberto Lobo;Principal researcher;Philosophy, Ethics and Religion;Centro de Filosofia da Ciência (FC/ULisboa);7,7;7,2;No;;;;;;;
CEECIND/02907/2018;Diego Martínez Martínez;Principal researcher;Materials Engineering and Nano-technology;Centro de Física (CF/UM);7,5;7,2;No;;;;;;;
CEECIND/01375/2018;Ana Cláudia Relvas Vieira Dias;Principal researcher;Environmental Biotechnology and Engineering, Industrial Biotechnology and Other Engineering and Technologies;Centro de Estudos do Ambiente e do Mar (CESAM/UA);7,6;7,2;No;;;;;;;
CEECIND/02778/2018;Wanessa Asfora Nadler;Principal researcher;History and Archaeology;Centro de Estudos Clássicos e Humanísticos (CECH/FL/UC);7,4;7,2;No;;;;;;;
CEECIND/02948/2018;Isabel Cristina Ferreira Neves Baltazar;Principal researcher;History and Archaeology;Instituto de História Contemporânea (IHC/FCSH/UNL);7,4;7,2;No;;;;;;;
CEECIND/00429/2018;Rosa de Fátima Lopes de Freitas;Principal researcher;Biological Sciences AR, PR and CR;Centro de Estudos do Ambiente e do Mar (CESAM/UA);7,7;7,2;No;;;;;;;
CEECIND/00920/2018;Erwan GAREL;Principal researcher;Earth and Related Environmental Sciences and Other Natural Sciences;Centro de Investigação Marinha e Ambiental (CIMA/FCMA/UAlg);7,7;7,1;No;;;;;;;
CEECIND/01318/2018;Elin Moe;Principal researcher;Biological Sciences AR, PR and CR;Microbiologia Molecular, Estrutural e Celular (MOSTMICRO/ITQB NOVA/UNL);7,6;7,1;No;;;;;;;
CEECIND/01145/2018;Pedro Miguel Ribeiro Silva;Principal researcher;Health Sciences and Other Medical Sciences;Centro de Investigação em Actividade Física, Saúde e Lazer (CIAFEL/FADE/UP);7,4;7,1;No;;;;;;;
CEECIND/02991/2018;Susana Cristina Araújo Póvoas;Principal researcher;Health Sciences and Other Medical Sciences;Centro de Investigação em Desporto, Saúde e Desenvolvimento Humano (CIDESD);7,4;7,1;No;;;;;;;
CEECIND/00578/2018;Carla Maria Duarte Nunes;Principal researcher;Chemical Sciences;Centro de Química Estrutural (CQE/IST/ULisboa);7,8;7,1;No;;;;;;;
CEECIND/03897/2018;Joana Rodrigues Arantes da Silva;Principal researcher;Psychology and Cognitive Sciences;Centro de Investigação em Psicologia (CIPsi/UM);8,0;7,0;No;;;;;;;
CEECIND/03495/2018;Travis Blake Meador;Principal researcher;Earth and Related Environmental Sciences and Other Natural Sciences;Centro de Ciências do Mar (CCMar/CIMAR);7,6;7,0;No;;;;;;;
CEECIND/00553/2018;Uladzimir Khomchanka;Principal researcher;Physical Sciences;Centro de Física da Universidade de Coimbra (CFisUC/FCT/UC);7,5;7,0;No;;;;;;;
CEECIND/02400/2018;Chiara Lombardi;Principal researcher;Biological Sciences AR, PR and CR;Centro de Ciências do Mar (CCMar/CIMAR);7,5;7,0;No;;;;;;;
CEECIND/01388/2018;Joao Filipe Bogalho Vicente;Principal researcher;Biological Sciences AR, PR and CR;iNOVA4Health - Programme in Translational Medicine (iNOVA4Health);7,5;7,0;No;;;;;;;
CEECIND/01125/2018;Maria Antónia de Figueiredo Pires de Almeida;Principal researcher;Media and Communications, Law and Political Science;Centro de Investigação e Estudos de Sociologia (CIES-IUL/ISCTE-IUL);7,6;7,0;No;;;;;;;
CEECIND/01339/2018;Pedro Aragón Carrera;Principal researcher;Earth and Related Environmental Sciences and Other Natural Sciences;Rede de Investigação em Biodiversidade e Biologia Evolutiva (InBIO/ICETA-Porto/ICETA);7,6;7,0;No;;;;;;;
CEECIND/00331/2018;António Jorge da Costa Leite;Principal researcher;Psychology and Cognitive Sciences;Centro de Investigação em Psicologia (CIPsi/UM);7,8;6,9;No;;;;;;;
CEECIND/02079/2018;Carla Maria da Cunha Roque;Principal researcher;Civil and Mechanical Engineering and Engineering Systems;Centro de Tecnologia Mecânica e Automação (TEMA/UA);7,8;6,9;No;;;;;;;
CEECIND/00110/2018;Maria Isabel da Fonseca e Castro Moreira Azevedo;Principal researcher;Arts and Other Humanities;Instituto de Investigação em Design, Media e Cultura (ID+);7,4;6,9;No;;;;;;;
CEECIND/01757/2018;Jorge Humberto dos Santos Seabra;Principal researcher;Arts and Other Humanities;Centro de Estudos Interdisciplinares do Século XX (CEIS 20/UC);7,4;6,9;No;;;;;;;
CEECIND/01962/2018;Maria Teresa Burnay Summavielle;Principal researcher;Basic and Clinical Medicine;Instituto de Investigação e Inovação em Saúde (i3S/UP);7,2;6,9;No;;;;;;;
CEECIND/03291/2018;Neda Torabi Farsani;Principal researcher;Sociology and Other Social Sciences;Unidade de Investigação em Governança, Competitividade e Políticas Públicas (GOVCOPP);7,3;6,9;No;;;;;;;
CEECIND/01993/2018;Mesnard Michel;Principal researcher;Civil and Mechanical Engineering and Engineering Systems;Centro de Tecnologia Mecânica e Automação (TEMA/UA);7,8;6,9;No;;;;;;;
CEECIND/01450/2018;Dennis Nickolayevich Zuev;Principal researcher;Sociology and Other Social Sciences;Centro de Investigação e Estudos de Sociologia (CIES-IUL/ISCTE-IUL);7,3;6,9;No;;;;;;;
CEECIND/00954/2018;Robert Russell Monteith Paterson;Principal researcher;Agricultural and Veterinary Sciences;Centro de Engenharia Biológica da Universidade do Minho (CEB/UM);7,4;6,9;No;;;;;;;
CEECIND/00627/2018;MÁRCIA MARIA MENENDES MOTTA;Principal researcher;History and Archaeology;Centro de História da Sociedade e da Cultura (FL/UC);7,1;6,9;No;;;;;;;
CEECIND/03856/2018;Felipe Andrés Olivares Estay;Principal researcher;Physical Sciences;Centro Multidisciplinar de Astrofísica (CENTRA/IST/ULisboa);7,3;6,8;No;;;;;;;
CEECIND/00056/2018;Roberto Angeloni;Principal researcher;Philosophy, Ethics and Religion;Centro de Filosofia (CF/ULisboa);7,3;6,8;No;;;;;;;
CEECIND/00327/2018;Pedro Fernando Simões Costa;Principal researcher;Physical Sciences;Centro de Física da Universidade de Coimbra (CFisUC/FCT/UC);7,3;6,8;No;;;;;;;
CEECIND/04116/2018;Rui Pedro da Costa Neto;Principal researcher;Civil and Mechanical Engineering and Engineering Systems;Laboratório de Robótica e Sistemas de Engenharia (Larsys);7,6;6,8;No;;;;;;;
CEECIND/03917/2018;Amar Debbouche;Principal researcher;Mathematics and Computer and Information Sciences;Centro de Investigação e Desenvolvimento em Matemática e Aplicações (CIDMA/DM/UA);7,1;6,8;No;;;;;;;
CEECIND/04090/2018;João Miguel Magalhães Neto;Principal researcher;Earth and Related Environmental Sciences and Other Natural Sciences;MARE - Centro de Ciências do Mar e do Ambiente (MARE/FC/ULisboa);7,3;6,8;No;;;;;;;
CEECIND/03065/2018;Susana Alexandra Tavares Meneses Barbosa;Principal researcher;Earth and Related Environmental Sciences and Other Natural Sciences;Inesc Tec - Instituto de Engenharia de Sistemas e Computadores, Tecnologia e Ciência (INESC TEC);7,3;6,8;No;;;;;;;
CEECIND/02406/2018;Federica Ragazzola;Principal researcher;Biological Sciences AR, PR and CR;Centro de Ciências do Mar (CCMar/CIMAR);7,2;6,7;No;;;;;;;
CEECIND/03096/2018;Iñaki San Pedro García;Principal researcher;Philosophy, Ethics and Religion;Centro de Filosofia da Ciência (FC/ULisboa);7,2;6,7;No;;;;;;;
CEECIND/02338/2018;Ana Cristina Correia dos Santos;Principal researcher;Health Sciences and Other Medical Sciences;Unidade de Investigação em Epidemiologia - Instituto de Saúde Pública da Universidade do Porto (ISPUP - EPIUnit/ISPUP/UP);7,0;6,7;No;;;;;;;
CEECIND/03283/2018;José Alberto Salgado e Silva;Principal researcher;Arts and Other Humanities;Instituto de Etnomusicologia - Centro de Estudos em Música e Dança (INET- md);7,2;6,7;No;;;;;;;
CEECIND/00712/2018;Ana Luisa Varani Leal;Principal researcher;Languages and Literature;Centro Interdisciplinar de História, Culturas e Sociedades (CIDEHUS/UE);7,4;6,7;No;;;;;;;
CEECIND/00443/2018;Rui Miguel dos Santos Martins;Principal researcher;Environmental Biotechnology and Engineering, Industrial Biotechnology and Other Engineering and Technologies;Instituto de Plasma e Fusão Nuclear (IPFN/IST/ULisboa);7,1;6,7;No;;;;;;;
CEECIND/04006/2018;Angela Maria Teixeira Leite;Principal researcher;Psychology and Cognitive Sciences;Centro de Investigação em Psicologia (CIPsi/UM);7,5;6,6;No;;;;;;;
CEECIND/02016/2018;Alisson Marques de Miranda Cabral Gontijo;Principal researcher;Biological Sciences AR, PR and CR;iNOVA4Health - Programme in Translational Medicine (iNOVA4Health);7,0;6,6;No;;;;;;;
CEECIND/00939/2018;Mário de Souza Reis Junior;Principal researcher;Physical Sciences;Instituto de Nanociência e Nanotecnologia;7,0;6,6;No;;;;;;;
CEECIND/00775/2018;Rui Miguel Curado da Silva;Principal researcher;Physical Sciences;Laboratório de Instrumentação e Física Experimental de Partículas (LIP);7,0;6,6;No;;;;;;;
CEECIND/02003/2018;Pedrame Bargassa;Principal researcher;Physical Sciences;Laboratório de Instrumentação e Física Experimental de Partículas (LIP);7,0;6,6;No;;;;;;;
CEECIND/01755/2018;IOLANDA MARIA ALVES ÉVORA;Principal researcher;Sociology and Other Social Sciences;Investigação em Ciências Sociais e Gestão (CSG) (CSG);7,0;6,6;No;;;;;;;
CEECIND/03727/2018;Fabrice Aimé Fernand Schurmans;Principal researcher;Languages and Literature;Centro de Estudos Sociais (CES);7,3;6,6;No;;;;;;;
CEECIND/03948/2018;Ana Sofia Gonçalves Santos;Principal researcher;Agricultural and Veterinary Sciences;Centro de Investigação e de Tecnologias Agro-Ambientais e Biológicas (CITAB/UTAD);7,1;6,6;No;;;;;;;
CEECIND/03622/2018;Susana Matos Abreu;Principal researcher;Arts and Other Humanities;Centro de Estudos de Arquitectura e Urbanismo (CEAU/FA/UP);7,1;6,6;No;;;;;;;
CEECIND/02262/2018;Ghoncheh Tazmini;Principal researcher;Sociology and Other Social Sciences;Centro de Estudos Internacionais (CEI-IUL/ISCTE-IUL);6,9;6,5;No;;;;;;;
CEECIND/02772/2018;Luis António da Silva Borda de Água;Principal researcher;Biological Sciences AR, PR and CR;Rede de Investigação em Biodiversidade e Biologia Evolutiva (InBIO/ICETA-Porto/ICETA);6,9;6,5;No;;;;;;;
CEECIND/03260/2018;Edgar Anibal Galindo Cota;Principal researcher;Psychology and Cognitive Sciences;Centro de Estudos Interdisciplinares em Educação e Desenvolvimento (CeiED/COFAC);7,4;6,5;No;;;;;;;
CEECIND/03066/2018;Ana Cláudia de Assis;Principal researcher;Arts and Other Humanities;Centro de Estudos de Sociologia e Estética Musical (CESEM/FCSH/UNL);6,9;6,5;No;;;;;;;
CEECIND/02641/2018;Nythamar Hilario Fernandes de Oliveira Junior;Principal researcher;Philosophy, Ethics and Religion;Centro de Estudos Humanísticos (CEH/UM);6,9;6,5;No;;;;;;;
CEECIND/00479/2018;Filippo Bonini Baraldi;Principal researcher;Arts and Other Humanities;Instituto de Etnomusicologia - Centro de Estudos em Música e Dança (INET- md);6,9;6,5;No;;;;;;;
CEECIND/01074/2018;Rip Cohen;Principal researcher;Languages and Literature;Centro de Humanidades (CHAM/FCSH/UNL);7,1;6,4;No;;;;;;;
CEECIND/00351/2018;Jorge Albino Cadeias Araujo Carneiro;Principal researcher;Biological Sciences AR, PR and CR;Microbiologia Molecular, Estrutural e Celular (MOSTMICRO/ITQB NOVA/UNL);6,7;6,3;No;;;;;;;
CEECIND/00166/2018;Davide Masoero;Principal researcher;Mathematics and Computer and Information Sciences;Grupo de Física Matemática (GFM/ULisboa);6,6;6,3;No;;;;;;;
CEECIND/03992/2018;Ana Isabel Palmero Marrero;Principal researcher;Civil and Mechanical Engineering and Engineering Systems;Laboratório Associado de Energia, Transportes e Aeronáutica (LAETA);7,0;6,2;No;;;;;;;
CEECIND/01751/2018;Dr Paul Richard Smart;Principal researcher;Psychology and Cognitive Sciences;IFILNOVA- Instituto de Filosofia da Nova (IFILNOVA) (IFILNOVA/FCSH/UNL);6,9;6,1;No;;;;;;;
CEECIND/03832/2018;Carlos Miguel Tamarit Degenhardt;Principal researcher;Physical Sciences;Instituto de Astrofísica e Ciências do Espaço (IA);6,5;6,1;No;;;;;;;
CEECIND/04075/2018;Rogerio Roth;Principal researcher;Education;Centro de Estudos Interdisciplinares em Educação e Desenvolvimento (CeiED/COFAC);5,6;6,1;No;;;;;;;
CEECIND/03210/2018;Fatima Lampreia Carvalho;Principal researcher;Media and Communications, Law and Political Science;Centro de Investigação Sobre o Espaço e as Organizações (CIEO);6,5;6,0;No;;;;;;;
CEECIND/02770/2018;Manuel Santos Estévez;Principal researcher;History and Archaeology;Laboratório de Paisagens, Património e Território (Lab2PT);6,2;6,0;No;;;;;;;
CEECIND/01841/2018;Pedro Jose Tótora da Glória;Principal researcher;Biological Sciences AR, PR and CR;Centro de Investigação em Antropologia e Saúde (CIAS/FCT/UC);6,4;6,0;No;;;;;;;
CEECIND/02409/2018;Acacia Cristina Mendes Malhado;Principal researcher;Economics and Business, Social and Economic Geography;Centro de Investigação Aplicada em Turismo (CiTUR/IPLeiria);5,9;5,9;No;;;;;;;
CEECIND/01981/2018;Graça Maria Rovisco Garcia Pedroso Mallaguerra Nunes;Principal researcher;Arts and Other Humanities;Centro de Investigação em Arquitectura, Urbanismo e Design (CIAUD);6,3;5,9;No;;;;;;;
CEECIND/02724/2018;Alfonso Vigil-Escalera Guirado;Principal researcher;History and Archaeology;Instituto de Estudos Medievais (IEM/FCSH/UNL);6,0;5,8;No;;;;;;;
CEECIND/00766/2018;António Manuel de Almeida dos Santos Queirós;Principal researcher;Philosophy, Ethics and Religion;Centro de Filosofia (CF/ULisboa);6,2;5,8;No;;;;;;;
CEECIND/02448/2018;Rosalina Maria Regada Carvalho Fonseca de Alvarez;Principal researcher;Basic and Clinical Medicine;iNOVA4Health - Programme in Translational Medicine (iNOVA4Health);6,1;5,8;No;;;;;;;
CEECIND/02311/2018;Paulo Tiago Paulos Bento;Principal researcher;Sociology and Other Social Sciences;Centro de Investigação e Estudos de Sociologia (CIES-IUL/ISCTE-IUL);6,1;5,8;No;;;;;;;
CEECIND/02392/2018;Filipe Manuel Almeida Veloso;Principal researcher;Physical Sciences;Laboratório de Instrumentação e Física Experimental de Partículas (LIP);6,1;5,7;No;;;;;;;
CEECIND/00605/2018;Pedro Eduardo Mendes Ferreira;Principal researcher;Basic and Clinical Medicine;ICVS/3B`s - Laboratório Associado (ICVS/3B`s);6,0;5,7;No;;;;;;;
CEECIND/01869/2018;Jason Keith Fernandes;Principal researcher;Sociology and Other Social Sciences;Centro em Rede de Investigação em Antropologia (CRIA);6,0;5,7;No;;;;;;;
CEECIND/02671/2018;Carlos Manuel Godinho Fernandes Lopes;Principal researcher;Economics and Business, Social and Economic Geography;Investigação em Ciências Sociais e Gestão (CSG) (CSG);5,7;5,7;No;;;;;;;
CEECIND/03933/2018;Frederico Nuno Castanheira Aires da Silva;Principal researcher;Health Sciences and Other Medical Sciences;Centro de Investigação Interdisciplinar em Sanidade Animal (CIISA/FMV/ULisboa);5,9;5,6;No;;;;;;;
CEECIND/03363/2018;PHILIP JOHN GERRISH;Principal researcher;Biological Sciences AR, PR and CR;Centro de Ciências do Mar (CCMar/CIMAR);6,0;5,6;No;;;;;;;
CEECIND/02575/2018;Andrei Nikolaev;Principal researcher;Psychology and Cognitive Sciences;Centro de Investigação do Núcleo de Estudos e Intervenção Cognitivo-Comportamental (CINEICC);6,4;5,6;No;;;;;;;
CEECIND/01851/2018;Celestino Vaz Tomas Jone Joanguete;Principal researcher;Media and Communications, Law and Political Science;Centro de Estudos de Comunicação e Sociedade (CECS/UM);6,0;5,6;No;;;;;;;
CEECIND/01256/2018;Mohammed Sadeq Abdulhameed Al-Rawi;Principal researcher;Electrical, Electronic and Information Engineering;Instituto de Engenharia Eletrónica e Informática de Aveiro;5,7;5,6;No;;;;;;;
CEECIND/03615/2018;monica toledo silva;Principal researcher;Arts and Other Humanities;I2ADS - Instituto de Investigação em Arte, Design e Sociedade (I2ADS);5,8;5,4;No;;;;;;;
CEECIND/03120/2018;Flavio D'Abramo;Principal researcher;Sociology and Other Social Sciences;Centro Interuniversitário de História das Ciências e daTecnologia (CIUHCT);5,7;5,4;No;;;;;;;
CEECIND/03292/2018;Luz Calia Miramontes Sequeiros;Principal researcher;Biological Sciences AR, PR and CR;Centro de Ciências do Mar (CCMar/CIMAR);5,7;5,3;No;;;;;;;
CEECIND/01806/2018;Isabel Maria da Silva Marcos Bourhis;Principal researcher;Arts and Other Humanities;Centro Interdisciplinar de Ciências Sociais (CICS.Nova/FCSH/UNL);5,7;5,3;No;;;;;;;
CEECIND/00618/2018;Marta Vaz Mendes;Principal researcher;Biological Sciences AR, PR and CR;Instituto de Investigação e Inovação em Saúde (i3S/UP);5,6;5,2;No;;;;;;;
CEECIND/02824/2018;CLAUDIA RIBEIRO PEREIRA NUNES;Principal researcher;Sociology and Other Social Sciences;Centro Interdisciplinar de Ciências Sociais (CICS.Nova/FCSH/UNL);5,5;5,2;No;;;;;;;
CEECIND/02492/2018;José ALexandre Cardoso Marques;Principal researcher;Arts and Other Humanities;Centro de Estudos Interdisciplinares do Século XX (CEIS 20/UC);5,5;5,1;No;;;;;;;
CEECIND/01426/2018;Philippe Gil de Mendonça;Principal researcher;Biological Sciences AR, PR and CR;Centro de Estudos do Ambiente e do Mar (CESAM/UA);5,3;5,0;No;;;;;;;
CEECIND/00662/2018;LIDICE MEYER PINTO RIBEIRO;Principal researcher;Education;Centro de Literaturas e Culturas Lusófonas e Europeia (CLEPUL/FL/ULisboa);4,4;4,8;No;;;;;;;
CEECIND/04118/2018;Paulo da Silva Quadros;Principal researcher;Media and Communications, Law and Political Science;Centro de Investigação em Comunicação, Informação e Cultura Digital (CIC. Digital/FCSH/UNL);4,6;4,3;No;;;;;;;
CEECIND/03337/2018;António De Sousa Barros;Principal researcher;Health Sciences and Other Medical Sciences;Unidade de Investigação e Desenvolvimento Cardiovascular (UIDC/FM/UP);4,4;4,2;No;;;;;;;
CEECIND/03145/2018;Bongkeum Jeong;Principal researcher;Mathematics and Computer and Information Sciences;Laboratório de Robótica e Sistemas de Engenharia (Larsys);4,0;3,8;No;;;;;;;
CEECIND/03602/2018;Luís Alberto Esteves dos Santos Casimiro;Principal researcher;Arts and Other Humanities;Centro de Investigação e de Estudos em Belas-Artes (CIEBA/FBA/ULisboa);3,2;3,0;No;;;;;;;
CEECIND/02650/2018;Abdeljalil Bouzouggar;Principal researcher;Education;Centro Interdisciplinar de Arqueologia e Evolução do Comportamento Humano (ICArEHB/UAlg);1,0;1,1;No;;;;;;;
;;;;;;;;;;;;;;
 * According to Decree-law No. 29/2001 of february 3.;;;;;;;;;;;;;;